,Postal Code,Borough,Neighborhood,latitude,longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
80,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.8161778,-79.3145378,3,Chinese Restaurant,Food & Drink Shop,Pizza Place,Pool,Athletics & Sports,Supermarket,Furniture / Home Store,Hong Kong Restaurant,Dim Sum Restaurant,Baseball Field
81,M1W,Scarborough,L'Amoreaux West,43.799003,-79.3059669,3,Chinese Restaurant,Park,Pizza Place,Bank,Tennis Court,Coffee Shop,Pharmacy,Burger Joint,Pool,Electronics Store
82,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457,1,Coffee Shop,Italian Restaurant,Grocery Store,Park,Bank,Office,Gym,Indian Restaurant,Japanese Restaurant,Juice Bar
83,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.6534817,-79.3839347,0,Coffee Shop,Café,Restaurant,Gastropub,Japanese Restaurant,Hotel,Sushi Restaurant,Furniture / Home Store,Tea Room,Theater
84,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374,4,Trail,Park,Intersection,Campground,Shopping Mall,Fast Food Restaurant,Gas Station,Pharmacy,Bus Station,Yoga Studio
85,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6694032,-79.3727041,0,Coffee Shop,Restaurant,Japanese Restaurant,Café,Gay Bar,Diner,Grocery Store,Gastropub,Thai Restaurant,Pub
86,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6487681,-79.38169179283025,0,Coffee Shop,Hotel,Café,Theater,Restaurant,Concert Hall,Japanese Restaurant,Deli / Bodega,Seafood Restaurant,Plaza
87,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6473811,-79.5113328,1,Coffee Shop,Pub,Restaurant,Breakfast Spot,Italian Restaurant,Dessert Shop,Sushi Restaurant,Bank,Pizza Place,Fast Food Restaurant
88,M4Y,Downtown Toronto,Church and Wellesley,43.6655242,-79.3838011,0,Coffee Shop,Japanese Restaurant,Park,Burger Joint,Sushi Restaurant,Restaurant,Yoga Studio,Café,Diner,Dance Studio
89,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6166773,-79.4968048,1,Breakfast Spot,Indian Restaurant,Park,Bank,Grocery Store,Convenience Store,Italian Restaurant,Brewery,Storage Facility,Bar
90,M9M,North York,"Pelmo park, Humbermede",43.7108008,-79.5106305,2,Vietnamese Restaurant,Mexican Restaurant,Gas Station,Convenience Store,Fast Food Restaurant,Pharmacy,Asian Restaurant,Furniture / Home Store,Caribbean Restaurant,Bank
91,M8Y,Etobicoke,The Queensway-Humber Bay,43.6263243,-79.5027658,1,Restaurant,Italian Restaurant,Ice Cream Shop,BBQ Joint,Sushi Restaurant,Pizza Place,Coffee Shop,Thai Restaurant,Bakery,Bar
92,M6C,North York,"Vaughan, Cedervale ,Humewood",43.68285675,-79.41953968088616,1,Café,Coffee Shop,Italian Restaurant,Park,Indian Restaurant,Restaurant,Bank,Ice Cream Shop,Pizza Place,Sandwich Place
93,M4E,East York,Beaches,43.6710244,-79.296712,1,Pub,Coffee Shop,Beach,Japanese Restaurant,Breakfast Spot,Pizza Place,Bar,Park,Bakery,Tea Room
94,M1N,Scarborough,Birch Cliff,43.6918051,-79.2644935,1,Park,Thai Restaurant,Restaurant,College Stadium,Diner,Café,Gym,Skating Rink,General Entertainment,Doner Restaurant
95,M5R,Central Toronto,Davenport,43.6715454,-79.4483222,1,Café,Italian Restaurant,Coffee Shop,Park,Bakery,Sushi Restaurant,Brazilian Restaurant,Bar,Bank,Portuguese Restaurant
96,M9N,York,York South-Weston,43.6844658,-79.4988181,8,Pizza Place,Park,Coffee Shop,Asian Restaurant,Supermarket,Bus Line,Restaurant,Golf Course,Massage Studio,Fast Food Restaurant
97,M3B,North York,Edwards Gardens,43.7314418,-79.35838008055384,6,Intersection,Botanical Garden,Grocery Store,Park,Coffee Shop,Sandwich Place,Bubble Tea Shop,Stables,Fireworks Store,Donut Shop
98,M4C,East York,Toronto Danforth,43.6789439,-79.3448597,1,Greek Restaurant,Café,Coffee Shop,Italian Restaurant,Park,Restaurant,Bookstore,Pizza Place,Bank,Fast Food Restaurant
